wavelength,nk,flux
372.50000000, 1.10724910, 1.89385295
372.55000000, 1.13436068, 1.89801557
372.60000000, 1.16097018, 1.90217818
372.65000000, 1.19176712, 1.90678883
372.70000000, 1.21145579, 1.91263453
372.75000000, 1.19602366, 1.91848023
372.80000000, 1.13459586, 1.92432594
372.85000000, 1.06696097, 1.93017164
372.90000000, 1.05613167, 1.93601734
372.95000000, 1.10171842, 1.94186305
373.00000000, 1.14852085, 1.94770875
373.05000000, 1.15673792, 1.95355446
373.10000000, 1.12702340, 1.95940016
373.15000000, 1.09345441, 1.96524586
373.20000000, 1.07881199, 1.97109157
373.25000000, 1.06512074, 1.97693727
373.30000000, 1.03197972, 1.98278297
373.35000000, 0.97824536, 1.98862868
373.40000000, 0.91610259, 1.99447438
373.45000000, 0.86154526, 2.00032008
373.50000000, 0.81365081, 2.00616579
373.55000000, 0.76774131, 2.01201149
373.60000000, 0.73855113, 2.01785720
373.65000000, 0.73824111, 2.02370290
373.70000000, 0.75701853, 2.02954860
373.75000000, 0.76997518, 2.02000285
373.80000000, 0.77218200, 2.00675719
373.85000000, 0.78874418, 1.99351153
373.90000000, 0.84017872, 1.98026587
373.95000000, 0.91399826, 1.96702021
374.00000000, 0.97047051, 1.95377455
374.05000000, 1.00152897, 1.94052889
374.10000000, 1.02995578, 1.92728323
374.15000000, 1.06241441, 1.91403757
374.20000000, 1.08330137, 1.90079191
374.25000000, 1.07904945, 1.88754625
374.30000000, 1.05933307, 1.87430059
374.35000000, 1.02841380, 1.86105492
374.40000000, 0.97906945, 1.84780926
374.45000000, 0.92688297, 1.83456360
374.50000000, 0.89874139, 1.82131794
374.55000000, 0.89532713, 1.80807228
374.60000000, 0.87938205, 1.79482662
374.65000000, 0.83479792, 1.78158096
374.70000000, 0.80228321, 1.76833530
374.75000000, 0.81070824, 1.75508964
374.80000000, 0.84190059, 1.75123572
374.85000000, 0.85543937, 1.76459556
374.90000000, 0.83488741, 1.77795540
374.95000000, 0.79881092, 1.79131524
375.00000000, 0.76983639, 1.80467508
375.05000000, 0.76732281, 1.81803492
375.10000000, 0.80131254, 1.83139476
375.15000000, 0.86221807, 1.84475459
375.20000000, 0.93334412, 1.85811443
375.25000000, 1.00697088, 1.87147427
375.30000000, 1.07049417, 1.88483411
375.35000000, 1.11070261, 1.89819395
375.40000000, 1.13377091, 1.91155379
375.45000000, 1.15936018, 1.92491363
375.50000000, 1.19943179, 1.93827346
375.55000000, 1.24129704, 1.95163330
375.60000000, 1.27025557, 1.96499314
375.65000000, 1.28599085, 1.97835298
375.70000000, 1.28342806, 1.99171282
375.75000000, 1.25666452, 2.00507266
375.80000000, 1.20753664, 2.01843250
375.85000000, 1.13084892, 2.03179234
375.90000000, 1.04127202, 2.03469629
375.95000000, 0.98698154, 2.03652814
376.00000000, 0.98617165, 2.03836000
376.05000000, 1.01972021, 2.04019185
376.10000000, 1.06863467, 2.04202370
376.15000000, 1.10805270, 2.04385556
376.20000000, 1.12124807, 2.04568741
376.25000000, 1.11856677, 2.04751926
376.30000000, 1.12008808, 2.04935112
376.35000000, 1.12661063, 2.05118297
376.40000000, 1.11630022, 2.05301482
