wavelength I/F_head I/F_neck I/F_body
1491.11 0.0296019 0.0453554 0.0308704
1500.55 0.0297059 0.0454155 0.0309522
1509.99 0.0296914 0.0450104 0.0309430
1519.42 0.0295414 0.0442358 0.0306958
1528.86 0.0295739 0.0440645 0.0306737
1538.30 0.0295022 0.0441580 0.0305612
1547.73 0.0294390 0.0445011 0.0305729
1557.17 0.0294280 0.0446601 0.0307523
1566.61 0.0295915 0.0449332 0.0308446
1576.04 0.0299139 0.0456087 0.0312561
1585.48 0.0300776 0.0459430 0.0314377
1594.92 0.0298342 0.0456400 0.0312015
1604.36 0.0296679 0.0453150 0.0309854
1613.79 0.0298673 0.0455163 0.0311370
1623.23 0.0295508 0.0449770 0.0308432
1632.67 0.0295981 0.0449210 0.0309290
1642.10 0.0301201 0.0457035 0.0315402
1651.54 0.0297398 0.0453293 0.0311870
1660.98 0.0302619 0.0452918 0.0309965
1670.41 0.0299067 0.0458836 0.0313895
1679.85 0.0305266 0.0467855 0.0321796
1689.29 0.0300644 0.0459323 0.0317352
1698.72 0.0300639 0.0456507 0.0314625
1708.16 0.0302826 0.0459527 0.0316472
1717.60 0.0302908 0.0459997 0.0317128
1727.03 0.0306338 0.0465163 0.0320999
1736.47 0.0305473 0.0474033 0.0328613
1745.91 0.0306664 0.0469325 0.0324100
1755.35 0.0307103 0.0464736 0.0320222
1764.78 0.0305204 0.0463377 0.0320463
1774.22 0.0306159 0.0463445 0.0321489
1783.66 0.0305518 0.0464076 0.0322005
1793.09 0.0305493 0.0465446 0.0323812
1802.53 0.0308174 0.0469228 0.0326607
1811.97 0.0312584 0.0476007 0.0329458
1821.40 0.0310122 0.0481462 0.0333052
1830.84 0.0311848 0.0471906 0.0327474
1840.28 0.0313040 0.0472914 0.0328801
1849.71 0.0313572 0.0475984 0.0329390
1859.15 0.0315268 0.0478850 0.0330078
1868.59 0.0312217 0.0486461 0.0336515
1878.03 0.0312629 0.0474383 0.0330482
1887.46 0.0318156 0.0480857 0.0335692
1896.90 0.0318329 0.0480849 0.0336537
1906.34 0.0314230 0.0477411 0.0333384
1915.77 0.0314002 0.0479237 0.0333428
1925.21 0.0314936 0.0479327 0.0335338
1934.65 0.0317532 0.0481311 0.0339554
1944.08 0.0315458 0.0478228 0.0334009
1953.52 0.0320447 0.0484641 0.0337041
1962.96 0.0319060 0.0480558 0.0335131
1972.39 0.0319541 0.0479699 0.0335435
1981.83 0.0319785 0.0479535 0.0335899
1991.27 0.0317955 0.0478733 0.0336355
2000.70 0.0316347 0.0477923 0.0335111
2010.14 0.0316031 0.0477354 0.0336580
2019.58 0.0319729 0.0484755 0.0338109
2029.02 0.0321432 0.0487447 0.0340076
2038.45 0.0321037 0.0485440 0.0339825
2047.89 0.0313941 0.0473867 0.0337104
2057.33 0.0317005 0.0476459 0.0338602
2066.76 0.0321852 0.0481566 0.0338146
2076.20 0.0325441 0.0486486 0.0342722
2085.64 0.0327013 0.0490969 0.0342285
2095.07 0.0325439 0.0490098 0.0343916
2104.51 0.0319389 0.0479469 0.0336501
2113.95 0.0317365 0.0481706 0.0339364
2123.38 0.0322194 0.0482179 0.0337751
2132.82 0.0328570 0.0493990 0.0340590
2142.26 0.0322070 0.0485825 0.0340172
2151.70 0.0322166 0.0485727 0.0340065
2161.13 0.0330214 0.0497848 0.0349049
2170.57 0.0329685 0.0496505 0.0354372
2180.01 0.0321012 0.0486175 0.0345390
2189.44 0.0321201 0.0487693 0.0344039
2198.88 0.0331366 0.0485110 0.0346606
2208.32 0.0324072 0.0489907 0.0346495
2217.75 0.0323167 0.0496478 0.0341600
2227.19 0.0325335 0.0487893 0.0341988
2236.63 0.0323320 0.0483063 0.0342803
2246.06 0.0322113 0.0483198 0.0340042
2255.50 0.0325560 0.0487646 0.0342035
2264.94 0.0326459 0.0488858 0.0343331
2274.37 0.0318856 0.0477704 0.0341990
2283.81 0.0329424 0.0506026 0.0345888
2293.25 0.0330818 0.0497033 0.0345828
2302.69 0.0330910 0.0492776 0.0343950
2312.12 0.0322796 0.0481881 0.0337841
2321.56 0.0320950 0.0495508 0.0345813
2331.00 0.0322161 0.0499755 0.0345479
2340.43 0.0325669 0.0522023 0.0343507
2349.87 0.0332028 0.0513782 0.0345033
2359.31 0.0334685 0.0504412 0.0351426
2368.74 0.0323277 0.0498444 0.0350082
2378.18 0.0333690 0.0495767 0.0355548
2387.62 0.0337013 0.0502046 0.0353023
2397.05 0.0338131 0.0501787 0.0349270
2406.49 0.0336847 0.0499540 0.0346868
2415.93 0.0339097 0.0489996 0.0346860
2425.36 0.0328772 0.0501978 0.0350110
2434.80 0.0327599 0.0505209 0.0350984
2444.24 0.0337581 0.0497703 0.0359913
2453.68 0.0342316 0.0508816 0.0353153
2463.11 0.0343040 0.0515012 0.0349374
2472.55 0.0343187 0.0512937 0.0350165
2481.99 0.0344156 0.0513212 0.0351953
2491.42 0.0344047 0.0510165 0.0347953
2500.86 0.0338127 0.0503319 0.0348813
2510.30 0.0342450 0.0503215 0.0349237
2519.73 0.0341204 0.0505060 0.0350145
2529.17 0.0342958 0.0498417 0.0348519
2538.61 0.0349237 0.0503071 0.0353138
2548.04 0.0349235 0.0514976 0.0350615
2557.48 0.0347743 0.0538812 0.0354132
2566.92 0.0346470 0.0513010 0.0354641
2576.35 0.0346950 0.0513100 0.0350687
2585.79 0.0350945 0.0524115 0.0352685
2595.23 0.0349486 0.0516712 0.0350618
2604.67 0.0346734 0.0509298 0.0357546
2614.10 0.0348948 0.0512053 0.0366881
2623.54 0.0344463 0.0526397 0.0366141
2632.98 0.0361212 0.0542320 0.0356229
2642.41 0.0350972 0.0528173 0.0355806
2651.85 0.0349989 0.0521081 0.0355890
2661.29 0.0355997 0.0530584 0.0359407
2670.72 0.0349694 0.0532828 0.0353154
2680.16 0.0358421 0.0521080 0.0353094
2689.60 0.0346985 0.0531970 0.0353026
2699.03 0.0358458 0.0539091 0.0352178
2708.47 0.0353996 0.0522727 0.0358058
2717.91 0.0357223 0.0531504 0.0355689
2727.35 0.0358459 0.0531718 0.0355635
2736.78 0.0362425 0.0533441 0.0358278
2746.22 0.0359171 0.0527332 0.0357157
2755.66 0.0359844 0.0530848 0.0359763
2765.09 0.0358266 0.0529404 0.0359461
2774.53 0.0358939 0.0527993 0.0358170
2783.97 0.0351908 0.0525891 0.0357350
2793.40 0.0360024 0.0509996 0.0356357
2802.84 0.0352142 0.0509619 0.0355371
2812.28 0.0352237 0.0540501 0.0355346
2821.71 0.0362805 0.0536472 0.0358223
2831.15 0.0352383 0.0535340 0.0358203
2840.59 0.0363309 0.0528129 0.0362956
2850.02 0.0362112 0.0520273 0.0359585
2859.46 0.0367880 0.0521156 0.0362264
2868.90 0.0352489 0.0520799 0.0362929
2878.34 0.0361397 0.0509689 0.0354614
2887.77 0.0358899 0.0506315 0.0349269
2897.21 0.0364237 0.0513426 0.0354105
2906.65 0.0362328 0.0512918 0.0360270
2916.08 0.0350838 0.0501191 0.0355979
2925.52 0.0352151 0.0493977 0.0348614
2934.96 0.0345807 0.0494923 0.0360243
2944.39 0.0352330 0.0501584 0.0355919
2953.83 0.0348273 0.0504099 0.0357317
2963.27 0.0351571 0.0494921 0.0350130
2972.70 0.0351379 0.0524864 0.0355669
2982.14 0.0344166 0.0521716 0.0356325
2991.58 0.0363474 0.0518211 0.0355559
3001.02 0.0362362 0.0482970 0.0355298
